id,name,category,price,average_rating,rating_number
p1,FS-1051 FATSHARK TELEPORTER V3 HEADSET,All Electronics,,3.5,6
p2,Ce-H22B12-S1 4Kx2K Hdmi 4Port,All Electronics,,5.0,1
p3,"Digi-Tatoo Decal Skin Compatible With MacBook Pro 13 inch (Model A2338/ A2289/ A2251) - Protective and Decorative Full Body Laptop Skin Decal Sticker, Anti-Scratch Vinly Skin Sticker Wrap [Fresh Marble]",Computers,19.99,4.5,246
p4,NotoCity Compatible with Vivoactive 4 band 22mm Quick Release Silicone Bands/Garmin Darth Vader/First Avenger/Polar Vantage Smartwatch Sport Breathable Strap Replacement for Gear S3 Classic Watchband,AMAZON FASHION,9.99,4.5,233
p5,Motorola Droid X Essentials Combo Pack,Cell Phones & Accessories,14.99,3.8,64
p6,Raymarine Wi-Fish DownVision Blackbox Sonar with Wi-Fi,Sports & Outdoors,,3.5,25
p7,"QGHXO Band for Garmin Vivofit 4, Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker, Small, Large, Ten Colors (5PCS Bands-Girl, Large)",Cell Phones & Accessories,14.89,4.4,707
p8,Protech iPhone 4 microscope 60X Lens with illumination Led,Industrial & Scientific,,3.8,6
p9,"MOSISO Plastic Hard Shell Case & Keyboard Cover Compatible MacBook Air 11 Inch (Models: A1370 & A1465), Transparent Black",Computers,,5.0,2
p10,"Fishfinder, Depth Finder Poly Sun Cover for 3"" - 4"" Models - Protects Your Screen from Sun / Weather Damage",Unknown,10.99,4.4,86
p11,Network Magic 4.0,Computers,,3.3,14
p12,"Dock Audio Extender Adapter Converter Cable for iPod iPhone 4 4S iPhone 5 5S iPad, Samsung & Other Smart Phones",Portable Audio & Accessories,,3.6,45
p13,"NANW Bands Compatible with Fitbit Versa/Versa 2/Versa Lite Small Large, Soft Silicone Replacement Band for Versa/Versa 2, Air Hole Wristband Strap for Women Men",Cell Phones & Accessories,,4.6,4249
p14,"eForCity Leather Case with Stand for 7-Inch Samsung Galaxy Tab 2, White/Black Zebra (PSAMGLXTLC26)",Computers,,3.9,144
p15,"Novelty Cute Cartoon USB 2.0 Flash Drive Data Storage Memory Stick Cartoon USB Stick Pendrive Gift (16GB, Camera Black)",Computers,8.98,4.7,198
p16,"KEiiD PC Computer Speaker Compact Bluetooth Stereo System with Aluminum Housing for Laptop Desktop PC Gaming Computers, Unique Touch Controller, Built-in Bluetooth 5.0 Receiver for Wireless Streaming",All Electronics,,4.2,493
p17,"ANNKE 4K 16CH Security DVR Recorder with Human & Vehicle Detection and (16) 8MP Outdoor Bullet Cameras with IP67 Weatherproof, 100ft Night Vision with EXIR, Email Alert, NO Hard Drive",Camera & Photo,909.99,5.0,2
p18,BIPRA U3 2.5 inch USB 3.0 NTFS Portable External Hard Drive - White (250GB),Computers,98.49,5.0,1
p19,WD Scorpio Blue 320GB Mobile SATA Hard Drive,Computers,,4.0,37
p20,"Outer Space Planets Stickers(50Pcs),Planetary Systems Waterproof Vinyl Water Bottle Stickers for Teens Girls Adults Kids,Laptop Car Cup Computer Guitar Skateboard Luggage Phone Aesthetic Stickers Pack",Amazon Home,3.99,4.5,50
p21,"Gateway 15.6"" FHD Ultra Slim Budget Notebook, Intel Pentium Processor(4-Core, up to 3.1 GHz), 4GB RAM, 128GB Storage, Precision Touchpad, HDMI, Type-C Windows 10S, Microsoft 365 1 Year, Charcoal Black",Computers,189.99,4.1,15
p22,Leather Case for Cp S6/S7C,Camera & Photo,,3.9,5
p23,VILTROX 24mm F1.8 f/1.8 FE Full-Frame Wide-Angle Prime Autofocus Lens for Sony E-Mount Camera a7R4 A7III A7S2 A5100 A6600 A6500 A6400 A6300 A6000 A7RIV A7RIII A7SIII A7III A7RII A7II A7S A7R A7,Camera & Photo,379.0,3.9,16
p24,"Nippon Audiodrift 6"" 2-Way Speaker 4ohm 130w Max 14.25in. x 7.25in. x 3.25in.",All Electronics,,1.0,1
p25,Polaroid Originals Now Viewfinder i-Type Instant Camera (White) Bundle with Color and B and W Instant Film and Reusable Vintage Photo Accessory (4 Items),Camera & Photo,179.99,4.8,48
p26,Stanton STR8-100 Direct-Drive Digital Turntable with Straight Tone Arm (Discontinued by Manufacturer),Home Audio & Theater,,4.5,2
p27,HTC Vivid Black/Blue Perforated Cover,Computers,,5.0,2
p28,"NVIDIA NVS 310 by PNY 1 GB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB (Renewed)",Computers,34.98,4.2,17
p29,"luo Cherry MX RGB Switch Mute Pink Switch Mute Gray Switch Genuine German Cherry Switch (10PCS, Cherry RGB Mute Gray Switch)",Computers,13.99,4.0,12
p30,AntennaMastsRus - Made in USA - 4 Inch Black Aluminum Antenna is Compatible with Audi Allroad (2001-2005),Home Audio & Theater,22.99,4.3,7
p31,HP Elitebook 8560W New Replacement LCD Screen for Laptop LED HD Matte,Computers,63.33,4.7,4
